part_number,difficulty,estimated_time_minutes,tools_required,video_url,pdf_url,chromadb_doc_id
PS11743796,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11743796
PS12585623,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=HiQvsf7qtW4,,install_PS12585623
PS9495545,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=7NfdyJp1zKA,,install_PS9495545
PS8260227,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=lFojJCHQjRU,,install_PS8260227
PS17219658,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=iw_VAlMH1EY,,install_PS17219658
PS16218716,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=7u8AFHjMgvg,,install_PS16218716
PS11703834,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11703834
PS16745479,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=82J7ATDQVGc,,install_PS16745479
PS18374066,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=fusF2c8jBew,,install_PS18374066
PS17219661,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=o7aG6fOY9NA,,install_PS17219661
PS975905,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=sN5iSODYxnQ,,install_PS975905
PS16745761,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=5-kw6kmhDpM,,install_PS16745761
PS16620843,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16620843
PS16745754,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=tS63hanGVeo,,install_PS16745754
PS2379470,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS2379470
PS11770487,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=QeLrQ4UWcuY,,install_PS11770487
PS17219598,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17219598
PS11753379,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=LRTH3Wq_Apw,,install_PS11753379
PS5136129,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=2rxdEd2uJJc,,install_PS5136129
PS11750255,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=7k9GUwZo2y8,,install_PS11750255
PS11745451,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=-v4N2I43e-E,,install_PS11745451
PS11743423,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=DXjSSXCydyk,,install_PS11743423
PS1734917,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=ERz-tNJUxH0,,install_PS1734917
PS11770610,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=m8xZwWBmVFo,,install_PS11770610
PS17219660,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS17219660
PS8728568,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8728568
PS8770519,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8770519
PS8712513,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8712513
PS8701740,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8701740
